SDSS Object ID,RA,DEC,zsp,DR1 Source,RA,DEC,Sint,DR2 Source,RA,DEC,Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12
1237661435923267742,199.736583,47.769372,0.04,ILTJ131856.77+474609.6,199.7366,47.7694,1.3,ILTJ131856.78+474609.7,199.73658,47.76938,1.687,0.03,J131856.77+474609.7,13.184,0.023,12.861,0.025,8.583,0.023,4.278,0.323
1237661434846707793,190.0042,47.784763,0.03894,ILTJ124001.02+474705.2,190.0042,47.7848,2.9,ILTJ124001.02+474705.0,190.00426,47.78474,3.481,0.16,J124001.01+474705.1,11.859,0.022,11.93,0.021,11.262,0.136,0.668,-0.071
1237661152456540212,210.475635,48.026581,0.03592,ILTJ140154.09+480135.6,210.4754,48.0266,1.1,ILTJ140154.14+480135.3,210.47558,48.0265,1.677,0.32,J140154.16+480135.7,13.684,0.025,13.534,0.029,10.001,0.048,3.533,0.15
1237659131673640987,222.031998,48.093812,0.02547,ILTJ144807.62+480537.0,222.0318,48.0936,1.7,ILTJ144807.64+480537.2,222.03184,48.09369,2.464,0.59,J144807.68+480537.6,11.165,0.022,11.212,0.021,9.772,0.034,1.44,-0.047
1237659120399810629,225.353908,48.107725,0.01071,ILTJ150124.83+480629.0,225.3535,48.1081,0.9,ILTJ150124.92+480627.7,225.35384,48.10772,1.564,0.17,J150124.93+480627.7,13.344,0.024,13.231,0.026,9.904,0.041,3.327,0.113
1237659120936878166,226.065735,48.164701,0.03143,ILTJ150413.43+480943.5,226.056,48.1621,1.4,ILTJ150413.50+480942.7,226.05627,48.16186,1.419,24.93,J150415.87+480954.3,13.312,0.025,13.21,0.026,9.933,0.036,3.277,0.102
1237658204517105760,204.451955,48.231076,0.03076,ILTJ133748.47+481352.0,204.452,48.2311,5.2,ILTJ133748.47+481351.9,204.45198,48.2311,5.68,0.11,J133748.41+481352.2,12.687,0.026,12.619,0.027,9.057,0.036,3.562,0.068
1237661435921825846,194.84326,48.345418,0.02921,ILTJ125922.31+482043.6,194.843,48.3454,1,ILTJ125922.35+482043.9,194.84312,48.34553,1.089,0.53,J125922.38+482043.6,11.453,0.023,11.485,0.02,10.14,0.051,1.345,-0.032
1237659133284778105,224.615815,48.492383,0.0376,ILTJ145827.78+482932.5,224.6158,48.4924,2.5,ILTJ145827.80+482932.4,224.61581,48.49235,3.822,0.13,J145827.80+482932.7,11.272,0.022,11.314,0.02,10.652,0.065,0.662,-0.042
1237661435920187583,189.126855,48.50265,0.03939,ILTJ123630.45+483009.4,189.1269,48.5026,1.1,ILTJ123630.46+483009.3,189.12692,48.50259,1.58,0.26,J123630.45+483009.5,11.377,0.023,11.388,0.021,10.226,0.062,1.162,-0.011
1237659161732055220,226.073858,48.919765,0.02671,ILTJ150417.82+485510.6,226.0743,48.9196,0.9,ILTJ150417.74+485511.0,226.07391,48.91972,1.098,0.21,J150417.73+485511.0,14.263,0.026,14.007,0.032,9.977,0.039,4.03,0.256
1237661150303355047,190.831551,49.141347,0.03093,ILTJ124319.57+490829.0,190.8315,49.1414,2.6,ILTJ124319.56+490829.0,190.83148,49.1414,3.453,0.26,J124319.58+490829.0,13.133,0.024,12.943,0.027,8.974,0.028,3.969,0.19
